# 2d Ising model
# L = 32
# method = heatbath
# beta_min = 0
# beta_max = 1
# N_pts_beta = 21
# h_min = 0.3
# h_max = -0.3
# N_pts_h = 21
# Ntherm 10000
# Nac 100
# Number of datapoints 1000
# beta 	 e 	 m 	 |m| 	 msq 	 h 	 - 	 cV
3.500000e-01	-1.138148e+00	5.981504e-01	5.981504e-01	3.617034e-01	1.800000e-01		7.748328e-04
3.500000e-01	-1.092836e+00	5.479844e-01	5.479844e-01	3.053919e-01	1.500000e-01		7.933999e-04
3.500000e-01	-1.039082e+00	4.860801e-01	4.860801e-01	2.427697e-01	1.200000e-01		7.442245e-04
3.500000e-01	-9.842969e-01	4.020020e-01	4.020020e-01	1.704086e-01	9.000000e-02		7.132791e-04
3.500000e-01	-9.377227e-01	3.014531e-01	3.020117e-01	1.025844e-01	6.000000e-02		6.057181e-04
3.500000e-01	-8.974102e-01	1.597500e-01	1.678164e-01	3.840343e-02	3.000000e-02		4.912371e-04
3.500000e-01	-8.802266e-01	3.488281e-03	9.900781e-02	1.529129e-02	0.000000e+00		4.570306e-04
3.500000e-01	-8.990547e-01	-1.589668e-01	1.699199e-01	3.912385e-02	-3.000000e-02		5.330683e-04
3.500000e-01	-9.342500e-01	-2.962656e-01	2.971289e-01	9.927531e-02	-6.000000e-02		6.167090e-04
3.500000e-01	-9.863320e-01	-4.042715e-01	4.042715e-01	1.720616e-01	-9.000000e-02		7.121584e-04
3.500000e-01	-1.039953e+00	-4.862930e-01	4.862930e-01	2.437063e-01	-1.200000e-01		8.387931e-04
3.500000e-01	-1.091738e+00	-5.452344e-01	5.452344e-01	3.023960e-01	-1.500000e-01		7.864101e-04
3.500000e-01	-1.143684e+00	-6.007207e-01	6.007207e-01	3.649731e-01	-1.800000e-01		8.147325e-04
3.500000e-01	-1.183949e+00	-6.378242e-01	6.378242e-01	4.101862e-01	-2.100000e-01		7.779033e-04
3.500000e-01	-1.228336e+00	-6.722324e-01	6.722324e-01	4.543656e-01	-2.400000e-01		7.097319e-04
3.500000e-01	-1.264336e+00	-6.996875e-01	6.996875e-01	4.916468e-01	-2.700000e-01		7.227700e-04
3.500000e-01	-1.296781e+00	-7.206895e-01	7.206895e-01	5.214032e-01	-3.000000e-01		7.170733e-04

4.000000e-01	-1.578516e+00	8.556113e-01	8.556113e-01	7.329232e-01	3.000000e-01		6.460303e-04
4.000000e-01	-1.553355e+00	8.437773e-01	8.437773e-01	7.129031e-01	2.700000e-01		6.689764e-04
4.000000e-01	-1.532902e+00	8.328027e-01	8.328027e-01	6.946466e-01	2.400000e-01		7.167970e-04
4.000000e-01	-1.508895e+00	8.182910e-01	8.182910e-01	6.707876e-01	2.100000e-01		6.753718e-04
4.000000e-01	-1.478980e+00	8.014297e-01	8.014297e-01	6.438298e-01	1.800000e-01		8.145748e-04
4.000000e-01	-1.443844e+00	7.780742e-01	7.780742e-01	6.073146e-01	1.500000e-01		8.380045e-04
4.000000e-01	-1.405414e+00	7.506602e-01	7.506602e-01	5.663467e-01	1.200000e-01		9.687310e-04
4.000000e-01	-1.355641e+00	7.054160e-01	7.054160e-01	5.019272e-01	9.000000e-02		1.030244e-03
4.000000e-01	-1.298227e+00	6.440957e-01	6.440957e-01	4.220230e-01	6.000000e-02		1.147984e-03
4.000000e-01	-1.202023e+00	4.934434e-01	4.938418e-01	2.609796e-01	3.000000e-02		1.244889e-03
4.000000e-01	-1.106832e+00	2.650391e-03	2.095762e-01	6.499060e-02	0.000000e+00		8.748467e-04
4.000000e-01	-1.205375e+00	-4.918867e-01	4.928711e-01	2.622659e-01	-3.000000e-02		1.322754e-03
4.000000e-01	-1.295359e+00	-6.406816e-01	6.406816e-01	4.180054e-01	-6.000000e-02		1.229213e-03
4.000000e-01	-1.356906e+00	-7.080410e-01	7.080410e-01	5.052373e-01	-9.000000e-02		1.057980e-03
4.000000e-01	-1.404676e+00	-7.496699e-01	7.496699e-01	5.647636e-01	-1.200000e-01		9.377798e-04
4.000000e-01	-1.450391e+00	-7.817773e-01	7.817773e-01	6.130997e-01	-1.500000e-01		8.489844e-04
4.000000e-01	-1.482309e+00	-8.025684e-01	8.025684e-01	6.456320e-01	-1.800000e-01		8.010770e-04
4.000000e-01	-1.504332e+00	-8.166035e-01	8.166035e-01	6.680984e-01	-2.100000e-01		7.535330e-04
4.000000e-01	-1.534539e+00	-8.334707e-01	8.334707e-01	6.957713e-01	-2.400000e-01		7.272486e-04
4.000000e-01	-1.557641e+00	-8.451367e-01	8.451367e-01	7.152142e-01	-2.700000e-01		6.630773e-04
4.000000e-01	-1.577594e+00	-8.555898e-01	8.555898e-01	7.328355e-01	-3.000000e-01		6.458337e-04

4.500000e-01	-1.749012e+00	9.221309e-01	9.221309e-01	8.506200e-01	3.000000e-01		4.243953e-04
4.500000e-01	-1.739051e+00	9.182676e-01	9.182676e-01	8.435773e-01	2.700000e-01		5.063680e-04
4.500000e-01	-1.726594e+00	9.125508e-01	9.125508e-01	8.331701e-01	2.400000e-01		5.426983e-04
4.500000e-01	-1.715340e+00	9.081797e-01	9.081797e-01	8.252272e-01	2.100000e-01		5.282466e-04
4.500000e-01	-1.695477e+00	8.991953e-01	8.991953e-01	8.091011e-01	1.800000e-01		6.165356e-04
4.500000e-01	-1.684242e+00	8.934980e-01	8.934980e-01	7.989481e-01	1.500000e-01		6.285127e-04
4.500000e-01	-1.662320e+00	8.824004e-01	8.824004e-01	7.794263e-01	1.200000e-01		7.171146e-04
4.500000e-01	-1.639277e+00	8.696582e-01	8.696582e-01	7.573924e-01	9.000000e-02		7.872582e-04
4.500000e-01	-1.609102e+00	8.523223e-01	8.523223e-01	7.278990e-01	6.000000e-02		8.879617e-04
4.500000e-01	-1.576281e+00	8.283340e-01	8.283340e-01	6.884450e-01	3.000000e-02		1.025747e-03
4.500000e-01	-1.516582e+00	7.557168e-01	7.557168e-01	5.839493e-01	0.000000e+00		1.550214e-03
4.500000e-01	-1.575512e+00	-8.262012e-01	8.262012e-01	6.853794e-01	-3.000000e-02		1.102445e-03
4.500000e-01	-1.609402e+00	-8.508027e-01	8.508027e-01	7.254642e-01	-6.000000e-02		9.368003e-04
4.500000e-01	-1.639070e+00	-8.697129e-01	8.697129e-01	7.575201e-01	-9.000000e-02		8.149055e-04
4.500000e-01	-1.660688e+00	-8.817598e-01	8.817598e-01	7.782674e-01	-1.200000e-01		6.474757e-04
4.500000e-01	-1.677723e+00	-8.905293e-01	8.905293e-01	7.936768e-01	-1.500000e-01		6.253720e-04
4.500000e-01	-1.697344e+00	-9.001777e-01	9.001777e-01	8.108473e-01	-1.800000e-01		6.251421e-04
4.500000e-01	-1.712699e+00	-9.065605e-01	9.065605e-01	8.223250e-01	-2.100000e-01		5.685536e-04
4.500000e-01	-1.727625e+00	-9.136035e-01	9.136035e-01	8.350696e-01	-2.400000e-01		5.240541e-04
4.500000e-01	-1.738707e+00	-9.179297e-01	9.179297e-01	8.429560e-01	-2.700000e-01		5.121861e-04
4.500000e-01	-1.751973e+00	-9.230977e-01	9.230977e-01	8.524285e-01	-3.000000e-01		4.630160e-04

5.000000e-01	-1.850969e+00	9.565117e-01	9.565117e-01	9.150648e-01	3.000000e-01		3.448902e-04
5.000000e-01	-1.842910e+00	9.538809e-01	9.538809e-01	9.100485e-01	2.700000e-01		3.493072e-04
5.000000e-01	-1.836695e+00	9.514121e-01	9.514121e-01	9.053674e-01	2.400000e-01		3.862700e-04
5.000000e-01	-1.827223e+00	9.481230e-01	9.481230e-01	8.991250e-01	2.100000e-01		3.787523e-04
5.000000e-01	-1.823016e+00	9.464336e-01	9.464336e-01	8.959692e-01	1.800000e-01		4.447217e-04
5.000000e-01	-1.809469e+00	9.412949e-01	9.412949e-01	8.863051e-01	1.500000e-01		4.727700e-04
5.000000e-01	-1.801852e+00	9.378262e-01	9.378262e-01	8.798282e-01	1.200000e-01		4.899098e-04
5.000000e-01	-1.791129e+00	9.334434e-01	9.334434e-01	8.716871e-01	9.000000e-02		5.671431e-04
5.000000e-01	-1.775137e+00	9.271777e-01	9.271777e-01	8.600363e-01	6.000000e-02		5.682364e-04
5.000000e-01	-1.760488e+00	9.198223e-01	9.198223e-01	8.465428e-01	3.000000e-02		6.065589e-04
5.000000e-01	-1.745414e+00	9.105781e-01	9.105781e-01	8.298866e-01	0.000000e+00		6.809911e-04
5.000000e-01	-1.721848e+00	8.935156e-01	8.935156e-01	8.004918e-01	-3.000000e-02		8.872534e-04
5.000000e-01	-1.776961e+00	-9.276094e-01	9.276094e-01	8.608542e-01	-6.000000e-02		5.504700e-04
5.000000e-01	-1.793152e+00	-9.348457e-01	9.348457e-01	8.742356e-01	-9.000000e-02		4.772064e-04
5.000000e-01	-1.801359e+00	-9.381230e-01	9.381230e-01	8.803485e-01	-1.200000e-01		4.738697e-04
5.000000e-01	-1.813598e+00	-9.429941e-01	9.429941e-01	8.894897e-01	-1.500000e-01		4.838487e-04
5.000000e-01	-1.821523e+00	-9.458340e-01	9.458340e-01	8.948091e-01	-1.800000e-01		4.012218e-04
5.000000e-01	-1.828145e+00	-9.486191e-01	9.486191e-01	9.000596e-01	-2.100000e-01		3.791007e-04
